2013-06-02 01:50:50 status half-installed libpam-modules-bin:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-modules-bin:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-modules-bin:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 install libpam-runtime:all <none> 1.1.3-8ubuntu2
2013-06-02 01:50:50 status half-installed libpam-runtime:all 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-runtime:all 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam-runtime:all 1.1.3-8ubuntu2
2013-06-02 01:50:50 install libpam0g:armhf <none> 1.1.3-8ubuntu2
2013-06-02 01:50:50 status half-installed libpam0g:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam0g:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 status unpacked libpam0g:armhf 1.1.3-8ubuntu2
2013-06-02 01:50:50 install libpcre3:armhf <none> 1:8.31-2
2013-06-02 01:50:50 status half-installed libpcre3:armhf 1:8.31-2
2013-06-02 01:50:50 status unpacked libpcre3:armhf 1:8.31-2
2013-06-02 01:50:50 status unpacked libpcre3:armhf 1:8.31-2
2013-06-02 01:50:51 install libplymouth2:armhf <none> 0.8.8-0ubuntu6
2013-06-02 01:50:51 status half-installed libplymouth2:armhf 0.8.8-0ubuntu6
2013-06-02 01:50:51 status unpacked libplymouth2:armhf 0.8.8-0ubuntu6
2013-06-02 01:50:51 status unpacked libplymouth2:armhf 0.8.8-0ubuntu6
2013-06-02 01:50:51 install libpng12-0:armhf <none> 1.2.49-1ubuntu2
2013-06-02 01:50:51 status half-installed libpng12-0:armhf 1.2.49-1ubuntu2
2013-06-02 01:50:51 status unpacked libpng12-0:armhf 1.2.49-1ubuntu2
2013-06-02 01:50:51 status unpacked libpng12-0:armhf 1.2.49-1ubuntu2
2013-06-02 01:50:51 install libprocps0:armhf <none> 1:3.3.3-2ubuntu5
2013-06-02 01:50:51 status half-installed libprocps0:armhf 1:3.3.3-2ubuntu5
2013-06-02 01:50:51 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu5
2013-06-02 01:50:51 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu5
2013-06-02 01:50:51 install libselinux1:armhf <none> 2.1.9-5ubuntu1
2013-06-02 01:50:51 status half-installed libselinux1:armhf 2.1.9-5ubuntu1
2013-06-02 01:50:51 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-06-02 01:50:51 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-06-02 01:50:51 install libsemanage-common:all <none> 2.1.6-6ubuntu1
2013-06-02 01:50:51 status half-installed libsemanage-common:all 2.1.6-6ubuntu1
2013-06-02 01:50:51 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
2013-06-02 01:50:51 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
